name,id_spotify,id_genius,url_genius,genres
Jul,3IW7ScrzXmPvZhB27hmfgy,409643,https://genius.com/artists/Julia-michaels,pop urbaine
GIMS,0GOx72r5AAEKRGQFn3xqXK,13325,https://genius.com/artists/Gims,"french pop,pop urbaine"
Damso,2UwqpfQtNuhBwviIC0f2ie,45855,https://genius.com/artists/Damso,pop urbaine
Gazo,5gqmbbfjcikQBzPB5Hv13I,23012,https://genius.com/artists/Gazo,"drill,pop urbaine"
PLK,3DCWeG2J1fZeu0Oe6i5Q6m,128813,https://genius.com/artists/Plk,pop urbaine
Booba,58wXmynHaAWI5hwlPZP3qL,1282,https://genius.com/artists/Booba,pop urbaine
L2B,4hYxvgmTzS29XAXlo5adgM,1262771,https://genius.com/artists/L2b,
Hamza,5gs4Sm2WQUkcGeikMcVHbh,74111,https://genius.com/artists/Hamza,pop urbaine
SCH,2kXKa3aAFngGz2P4GjG5w2,11353,https://genius.com/artists/Schoolboy-q,pop urbaine
Maes,6L34dW6SKMSDaGIfYDU19j,1042749,https://genius.com/artists/Matt-maeson,pop urbaine
Vald,3CnCGFxXbOA8bAK54jR8js,189848,https://genius.com/artists/6lack,pop urbaine
Josman,6dbdXbyAWk2qx8Qttw0knR,153477,https://genius.com/artists/Josman,
Nekfeu,4LXBc13z5EWsc5N32bLxfH,13063,https://genius.com/artists/Nekfeu,
Alonzo,2z2TRvloJt4EfUNQp9rHAi,131018,https://genius.com/artists/Duru-tha-king,pop urbaine
Leto,6HCBnyTBSLdb3TFn2ayulY,2833262,https://genius.com/artists/Akim-apachev,pop urbaine
Naps,6W5uA6CNMf3hd2j4a2XWCx,984017,https://genius.com/artists/Naps,"pop urbaine,chicha"
Guy2Bezbar,07h4CCFmlXkwx0g4PL5Uuh,466514,https://genius.com/artists/Guy2bezbar,pop urbaine
Djadja & Dinaz,5hREZP0zTQbTLkZ2M8RS4v,327448,https://genius.com/artists/Djadja-and-dinaz,pop urbaine
Kalash,3J7r4VsNmuWixU0nXvyPd8,33290,https://genius.com/artists/Kalash,"shatta,dancehall,zouk,pop urbaine"
Soolking,0GgY7hjMoGDsX8ZDe2mwds,693078,https://genius.com/artists/Soolking,pop urbaine
Dinos,1QPdp5duV6lV4XINCzjwQ2,138995,https://genius.com/artists/Selena,pop urbaine
OBOY,66Ok6bgC570sHkw08N20pZ,635729,https://genius.com/artists/Oboy,pop urbaine
